name,category,subcategory,text_to_embed
Li3CrSiO5,Ceramic,Oxide,Material Name: Li3CrSiO5. Category: Ceramic. Subcategory: Oxide. Formula: Li3CrSiO5. Density: 3.706 g/cm3. Notes: JVASP-47760.
BeCuPt,Metal,Non-Ferrous,Material Name: BeCuPt. Category: Metal. Subcategory: Non-Ferrous. Formula: BeCuPt. Density: 12.455 g/cm3. Youngs Modulus: 204.13585521205533 GPa. Notes: JVASP-65020.
Mg3NiO4,Ceramic,Oxide,Material Name: Mg3NiO4. Category: Ceramic. Subcategory: Oxide. Formula: Mg3NiO4. Density: 4.371 g/cm3. Notes: JVASP-91608.
Li5Ti2Co3O10,Ceramic,Oxide,Material Name: Li5Ti2Co3O10. Category: Ceramic. Subcategory: Oxide. Formula: Li5Ti2Co3O10. Density: 4.47 g/cm3. Notes: JVASP-48576.
Tl2SnF6,Ceramic,Mixed,Material Name: Tl2SnF6. Category: Ceramic. Subcategory: Mixed. Formula: Tl2SnF6. Density: 6.899 g/cm3. Youngs Modulus: 33.06161042944785 GPa. Notes: JVASP-3096.
NiSnF6,Ceramic,Mixed,Material Name: NiSnF6. Category: Ceramic. Subcategory: Mixed. Formula: NiSnF6. Density: 4.687 g/cm3. Youngs Modulus: 73.86007699061255 GPa. Notes: JVASP-22617.
Ba4BeCr,Metal,Non-Ferrous,Material Name: Ba4BeCr. Category: Metal. Subcategory: Non-Ferrous. Formula: Ba4BeCr. Density: 4.03 g/cm3. Notes: JVASP-64378.
La2PI2,Ceramic,Mixed,Material Name: La2PI2. Category: Ceramic. Subcategory: Mixed. Formula: La2PI2. Density: 5.249 g/cm3. Notes: JVASP-85271.
LiVCuO4,Ceramic,Oxide,Material Name: LiVCuO4. Category: Ceramic. Subcategory: Oxide. Formula: LiVCuO4. Density: 4.071 g/cm3. Notes: JVASP-48745.
Sb,Ceramic,Elemental,Material Name: Sb. Category: Ceramic. Subcategory: Elemental. Formula: Sb. Density: 6.665 g/cm3. Youngs Modulus: 82.0486388384755 GPa. Notes: JVASP-14614.
Dy3Mn3Ga2Si,Ceramic,Mixed,Material Name: Dy3Mn3Ga2Si. Category: Ceramic. Subcategory: Mixed. Formula: Dy3Mn3Ga2Si. Density: 8.061 g/cm3. Youngs Modulus: 46.00224113212782 GPa. Notes: JVASP-5059.
Ba2YBr7,Metal,Non-Ferrous,Material Name: Ba2YBr7. Category: Metal. Subcategory: Non-Ferrous. Formula: Ba2YBr7. Density: 4.869 g/cm3. Notes: JVASP-52544.
Ba4TlZn,Metal,Non-Ferrous,Material Name: Ba4TlZn. Category: Metal. Subcategory: Non-Ferrous. Formula: Ba4TlZn. Density: 5.209 g/cm3. Notes: JVASP-64862.
ScNiC2,Ceramic,Carbide,Material Name: ScNiC2. Category: Ceramic. Subcategory: Carbide. Formula: ScNiC2. Density: 5.129 g/cm3. Notes: JVASP-90713.
Li4CuSi2O7,Ceramic,Oxide,Material Name: Li4CuSi2O7. Category: Ceramic. Subcategory: Oxide. Formula: Li4CuSi2O7. Density: 3.049 g/cm3. Notes: JVASP-50463.
Sn3PO4F3,Ceramic,Oxide,Material Name: Sn3PO4F3. Category: Ceramic. Subcategory: Oxide. Formula: Sn3PO4F3. Density: 4.984 g/cm3. Youngs Modulus: 47.78065027755749 GPa. Notes: JVASP-97853.
LiMn7O12,Ceramic,Oxide,Material Name: LiMn7O12. Category: Ceramic. Subcategory: Oxide. Formula: LiMn7O12. Density: 4.724 g/cm3. Notes: JVASP-48232.
Zr2Bi2O7,Ceramic,Oxide,Material Name: Zr2Bi2O7. Category: Ceramic. Subcategory: Oxide. Formula: Zr2Bi2O7. Density: 7.54 g/cm3. Notes: JVASP-50396.
WI3O,Ceramic,Oxide,Material Name: WI3O. Category: Ceramic. Subcategory: Oxide. Formula: WI3O. Density: 6.357 g/cm3. Notes: JVASP-88009.
Sr5P3ClO12,Ceramic,Oxide,Material Name: Sr5P3ClO12. Category: Ceramic. Subcategory: Oxide. Formula: Sr5P3ClO12. Density: 4.093 g/cm3. Notes: JVASP-13907.
Al6Fe,Metal,Ferrous,Material Name: Al6Fe. Category: Metal. Subcategory: Ferrous. Formula: Al6Fe. Density: 3.389 g/cm3. Notes: JVASP-86274.
Na2CoO3,Ceramic,Oxide,Material Name: Na2CoO3. Category: Ceramic. Subcategory: Oxide. Formula: Na2CoO3. Density: 4.136 g/cm3. Notes: JVASP-44064.
RbHSeO4,Ceramic,Oxide,Material Name: RbHSeO4. Category: Ceramic. Subcategory: Oxide. Formula: RbHSeO4. Density: 3.425 g/cm3. Notes: JVASP-88825.
YSn3,Metal,Non-Ferrous,Material Name: YSn3. Category: Metal. Subcategory: Non-Ferrous. Formula: YSn3. Density: 6.953 g/cm3. Notes: JVASP-90768.
FeO2,Ceramic,Oxide,Material Name: FeO2. Category: Ceramic. Subcategory: Oxide. Formula: FeO2. Density: 5.538 g/cm3. Youngs Modulus: 361.7860412373302 GPa. Notes: JVASP-42657.
LuTaO4,Ceramic,Oxide,Material Name: LuTaO4. Category: Ceramic. Subcategory: Oxide. Formula: LuTaO4. Density: 9.769 g/cm3. Notes: JVASP-4492.
CeAl2Zn2,Metal,Non-Ferrous,Material Name: CeAl2Zn2. Category: Metal. Subcategory: Non-Ferrous. Formula: CeAl2Zn2. Density: 5.615 g/cm3. Notes: JVASP-15181.
Ca4Al6SO12,Ceramic,Oxide,Material Name: Ca4Al6SO12. Category: Ceramic. Subcategory: Oxide. Formula: Ca4Al6SO12. Density: 2.442 g/cm3. Notes: JVASP-97576.
VH16C6N6O7F2,Ceramic,Oxide,Material Name: VH16C6N6O7F2. Category: Ceramic. Subcategory: Oxide. Formula: VH16C6N6O7F2. Density: 1.774 g/cm3. Notes: JVASP-98799.
SbOF,Unknown,,Material Name: SbOF. Category: Unknown. Formula: SbOF. Density: 5.239 g/cm3. Youngs Modulus: 33.84762119328775 GPa. Notes: JVASP-52341.
LiSmAlF6,Ceramic,Mixed,Material Name: LiSmAlF6. Category: Ceramic. Subcategory: Mixed. Formula: LiSmAlF6. Density: 4.366 g/cm3. Notes: JVASP-13976.
K4SrBe,Metal,Non-Ferrous,Material Name: K4SrBe. Category: Metal. Subcategory: Non-Ferrous. Formula: K4SrBe. Density: 1.271 g/cm3. Notes: JVASP-65063.
LiMnPO4,Ceramic,Oxide,Material Name: LiMnPO4. Category: Ceramic. Subcategory: Oxide. Formula: LiMnPO4. Density: 3.268 g/cm3. Notes: JVASP-52783.
LaMg7,Metal,Non-Ferrous,Material Name: LaMg7. Category: Metal. Subcategory: Non-Ferrous. Formula: LaMg7. Density: 2.497 g/cm3. Notes: JVASP-91890.
Co3OF5,Ceramic,Oxide,Material Name: Co3OF5. Category: Ceramic. Subcategory: Oxide. Formula: Co3OF5. Density: 4.78 g/cm3. Notes: JVASP-44255.
K2MnP2O7,Ceramic,Oxide,Material Name: K2MnP2O7. Category: Ceramic. Subcategory: Oxide. Formula: K2MnP2O7. Density: 3.165 g/cm3. Notes: JVASP-98090.
LaFe5H2,Metal,Ferrous,Material Name: LaFe5H2. Category: Metal. Subcategory: Ferrous. Formula: LaFe5H2. Density: 7.289 g/cm3. Notes: JVASP-91848.
FeP3O9,Ceramic,Oxide,Material Name: FeP3O9. Category: Ceramic. Subcategory: Oxide. Formula: FeP3O9. Density: 3.056 g/cm3. Notes: JVASP-48310.
Sc3RhC4,Ceramic,Carbide,Material Name: Sc3RhC4. Category: Ceramic. Subcategory: Carbide. Formula: Sc3RhC4. Density: 5.086 g/cm3. Notes: JVASP-91794.
V4O3F9,Ceramic,Oxide,Material Name: V4O3F9. Category: Ceramic. Subcategory: Oxide. Formula: V4O3F9. Density: 3.528 g/cm3. Notes: JVASP-42804.
NaLi5N2,Ceramic,Nitride,Material Name: NaLi5N2. Category: Ceramic. Subcategory: Nitride. Formula: NaLi5N2. Density: 1.45 g/cm3. Notes: JVASP-86845.
CoIN2O2,Ceramic,Oxide,Material Name: CoIN2O2. Category: Ceramic. Subcategory: Oxide. Formula: CoIN2O2. Density: 3.325 g/cm3. Notes: JVASP-97500.
Na2TiO3,Ceramic,Oxide,Material Name: Na2TiO3. Category: Ceramic. Subcategory: Oxide. Formula: Na2TiO3. Density: 3.533 g/cm3. Notes: JVASP-52477.
Li2CuO2,Ceramic,Oxide,Material Name: Li2CuO2. Category: Ceramic. Subcategory: Oxide. Formula: Li2CuO2. Density: 3.682 g/cm3. Youngs Modulus: 126.81528035358347 GPa. Notes: JVASP-15431.
Li3CoOF3,Ceramic,Oxide,Material Name: Li3CoOF3. Category: Ceramic. Subcategory: Oxide. Formula: Li3CoOF3. Density: 3.679 g/cm3. Notes: JVASP-48462.
TiCo3,Metal,Non-Ferrous,Material Name: TiCo3. Category: Metal. Subcategory: Non-Ferrous. Formula: TiCo3. Density: 8.163 g/cm3. Notes: JVASP-91939.
LiFeCoO4,Ceramic,Oxide,Material Name: LiFeCoO4. Category: Ceramic. Subcategory: Oxide. Formula: LiFeCoO4. Density: 4.709 g/cm3. Notes: JVASP-47623.
BaNiF6,Ceramic,Mixed,Material Name: BaNiF6. Category: Ceramic. Subcategory: Mixed. Formula: BaNiF6. Density: 4.671 g/cm3. Youngs Modulus: 71.9003782966899 GPa. Notes: JVASP-85447.
Sr2H6Os,Metal,Non-Ferrous,Material Name: Sr2H6Os. Category: Metal. Subcategory: Non-Ferrous. Formula: Sr2H6Os. Density: 5.584 g/cm3. Youngs Modulus: 83.49253958587089 GPa. Notes: JVASP-90336.
TiAlNi6,Metal,Superalloy,Material Name: TiAlNi6. Category: Metal. Subcategory: Superalloy. Formula: TiAlNi6. Density: 7.791 g/cm3. Notes: JVASP-107736.
HfScCo2,Metal,Non-Ferrous,Material Name: HfScCo2. Category: Metal. Subcategory: Non-Ferrous. Formula: HfScCo2. Density: 9.309 g/cm3. Notes: JVASP-41360.
LiFe2O2F3,Ceramic,Oxide,Material Name: LiFe2O2F3. Category: Ceramic. Subcategory: Oxide. Formula: LiFe2O2F3. Density: 3.685 g/cm3. Notes: JVASP-42721.
BeTl4W,Metal,Non-Ferrous,Material Name: BeTl4W. Category: Metal. Subcategory: Non-Ferrous. Formula: BeTl4W. Density: 11.115 g/cm3. Notes: JVASP-65102.
Ni2Sn4Au,Metal,Superalloy,Material Name: Ni2Sn4Au. Category: Metal. Subcategory: Superalloy. Formula: Ni2Sn4Au. Density: 9.116 g/cm3. Notes: JVASP-86779.
NdMgSi2,Ceramic,Mixed,Material Name: NdMgSi2. Category: Ceramic. Subcategory: Mixed. Formula: NdMgSi2. Density: 4.434 g/cm3. Notes: JVASP-86678.
Ba4LaGe,Metal,Non-Ferrous,Material Name: Ba4LaGe. Category: Metal. Subcategory: Non-Ferrous. Formula: Ba4LaGe. Density: 4.802 g/cm3. Notes: JVASP-64585.
Ce2Nd2O7,Ceramic,Oxide,Material Name: Ce2Nd2O7. Category: Ceramic. Subcategory: Oxide. Formula: Ce2Nd2O7. Density: 6.6 g/cm3. Notes: JVASP-49949.
YbIn2Pt,Metal,Non-Ferrous,Material Name: YbIn2Pt. Category: Metal. Subcategory: Non-Ferrous. Formula: YbIn2Pt. Density: 11.02 g/cm3. Notes: JVASP-91746.
KGaCl4,Ceramic,Mixed,Material Name: KGaCl4. Category: Ceramic. Subcategory: Mixed. Formula: KGaCl4. Density: 2.468 g/cm3. Notes: JVASP-97379.
LaZn5,Metal,Non-Ferrous,Material Name: LaZn5. Category: Metal. Subcategory: Non-Ferrous. Formula: LaZn5. Density: 6.987 g/cm3. Notes: JVASP-86369.
Tc3Pd,Metal,Non-Ferrous,Material Name: Tc3Pd. Category: Metal. Subcategory: Non-Ferrous. Formula: Tc3Pd. Density: 11.431 g/cm3. Notes: JVASP-91989.
La4Ni3O8,Ceramic,Oxide,Material Name: La4Ni3O8. Category: Ceramic. Subcategory: Oxide. Formula: La4Ni3O8. Density: 6.945 g/cm3. Notes: JVASP-86026.
Fe11Co5,Metal,Ferrous,Material Name: Fe11Co5. Category: Metal. Subcategory: Ferrous. Formula: Fe11Co5. Density: 8.252 g/cm3. Notes: JVASP-85365.
Mn6O7F5,Ceramic,Oxide,Material Name: Mn6O7F5. Category: Ceramic. Subcategory: Oxide. Formula: Mn6O7F5. Density: 4.628 g/cm3. Notes: JVASP-42540.
TbB3O6,Ceramic,Oxide,Material Name: TbB3O6. Category: Ceramic. Subcategory: Oxide. Formula: TbB3O6. Density: 4.82 g/cm3. Notes: JVASP-88121.
VOF3,Ceramic,Oxide,Material Name: VOF3. Category: Ceramic. Subcategory: Oxide. Formula: VOF3. Density: 3.236 g/cm3. Youngs Modulus: 34.76379402077527 GPa. Notes: JVASP-48645.
PrAlH6,Metal,Non-Ferrous,Material Name: PrAlH6. Category: Metal. Subcategory: Non-Ferrous. Formula: PrAlH6. Density: 3.79 g/cm3. Youngs Modulus: 132.30036449320716 GPa. Notes: JVASP-90812.
Li2Mn2F7,Ceramic,Mixed,Material Name: Li2Mn2F7. Category: Ceramic. Subcategory: Mixed. Formula: Li2Mn2F7. Density: 3.041 g/cm3. Notes: JVASP-48922.
P6H24N6O19,Unknown,,Material Name: P6H24N6O19. Category: Unknown. Formula: P6H24N6O19. Density: 1.943 g/cm3. Notes: JVASP-88347.
RbAlO3,Ceramic,Oxide,Material Name: RbAlO3. Category: Ceramic. Subcategory: Oxide. Formula: RbAlO3. Density: 4.399 g/cm3. Notes: JVASP-38346.
Ba2MgH6,Metal,Non-Ferrous,Material Name: Ba2MgH6. Category: Metal. Subcategory: Non-Ferrous. Formula: Ba2MgH6. Density: 3.949 g/cm3. Youngs Modulus: 78.75977175645521 GPa. Notes: JVASP-85665.
LiYO3,Ceramic,Oxide,Material Name: LiYO3. Category: Ceramic. Subcategory: Oxide. Formula: LiYO3. Density: 4.894 g/cm3. Notes: JVASP-38540.
Tl6TeO6,Ceramic,Oxide,Material Name: Tl6TeO6. Category: Ceramic. Subcategory: Oxide. Formula: Tl6TeO6. Density: 8.443 g/cm3. Youngs Modulus: 22.67269623618301 GPa. Notes: JVASP-4591.
RePbClO4,Ceramic,Oxide,Material Name: RePbClO4. Category: Ceramic. Subcategory: Oxide. Formula: RePbClO4. Density: 6.767 g/cm3. Youngs Modulus: 43.78547120418849 GPa. Notes: JVASP-86570.
RbF3,Ceramic,Mixed,Material Name: RbF3. Category: Ceramic. Subcategory: Mixed. Formula: RbF3. Density: 3.552 g/cm3. Youngs Modulus: 11.570023436536326 GPa. Notes: JVASP-38312.
RbBi,Metal,Non-Ferrous,Material Name: RbBi. Category: Metal. Subcategory: Non-Ferrous. Formula: RbBi. Density: 5.509 g/cm3. Notes: JVASP-98226.
KH2I3O,Ceramic,Oxide,Material Name: KH2I3O. Category: Ceramic. Subcategory: Oxide. Formula: KH2I3O. Density: 3.771 g/cm3. Youngs Modulus: 16.34862661902635 GPa. Notes: JVASP-85785.
HoCoSi2,Ceramic,Mixed,Material Name: HoCoSi2. Category: Ceramic. Subcategory: Mixed. Formula: HoCoSi2. Density: 7.155 g/cm3. Notes: JVASP-87103.
RbLiO3,Ceramic,Oxide,Material Name: RbLiO3. Category: Ceramic. Subcategory: Oxide. Formula: RbLiO3. Density: 3.368 g/cm3. Youngs Modulus: 13.020142180094789 GPa. Notes: JVASP-38306.
V2O3F,Ceramic,Oxide,Material Name: V2O3F. Category: Ceramic. Subcategory: Oxide. Formula: V2O3F. Density: 4.459 g/cm3. Notes: JVASP-42221.
LiHS,Ceramic,Mixed,Material Name: LiHS. Category: Ceramic. Subcategory: Mixed. Formula: LiHS. Density: 1.436 g/cm3. Youngs Modulus: 15.443950665622552 GPa. Notes: JVASP-85713.
MnSe2O6,Ceramic,Oxide,Material Name: MnSe2O6. Category: Ceramic. Subcategory: Oxide. Formula: MnSe2O6. Density: 4.124 g/cm3. Youngs Modulus: 81.51346008968609 GPa. Notes: JVASP-87207.
UInPt,Metal,Non-Ferrous,Material Name: UInPt. Category: Metal. Subcategory: Non-Ferrous. Formula: UInPt. Density: 13.84 g/cm3. Youngs Modulus: 113.5845899333827 GPa. Notes: JVASP-90168.
TiFeCoAs,Metal,Ferrous,Material Name: TiFeCoAs. Category: Metal. Subcategory: Ferrous. Formula: TiFeCoAs. Density: 7.915 g/cm3. Youngs Modulus: 29.529734868490547 GPa. Notes: JVASP-37035.
Yb2InCu2,Metal,Non-Ferrous,Material Name: Yb2InCu2. Category: Metal. Subcategory: Non-Ferrous. Formula: Yb2InCu2. Density: 9.516 g/cm3. Notes: JVASP-97801.
BeNi4Ru,Metal,Superalloy,Material Name: BeNi4Ru. Category: Metal. Subcategory: Superalloy. Formula: BeNi4Ru. Density: 8.2 g/cm3. Notes: JVASP-64946.
Eu2I2O,Ceramic,Oxide,Material Name: Eu2I2O. Category: Ceramic. Subcategory: Oxide. Formula: Eu2I2O. Density: 7.115 g/cm3. Youngs Modulus: 34.36077664097794 GPa. Notes: JVASP-85922.
NaH2SO4,Ceramic,Oxide,Material Name: NaH2SO4. Category: Ceramic. Subcategory: Oxide. Formula: NaH2SO4. Density: 2.24 g/cm3. Notes: JVASP-98932.
Ag3O4,Ceramic,Oxide,Material Name: Ag3O4. Category: Ceramic. Subcategory: Oxide. Formula: Ag3O4. Density: 6.924 g/cm3. Notes: JVASP-85852.
CeN,Ceramic,Nitride,Material Name: CeN. Category: Ceramic. Subcategory: Nitride. Formula: CeN. Density: 8.022 g/cm3. Youngs Modulus: 216.8693498452012 GPa. Notes: JVASP-14575.
LaIn5Co,Metal,Non-Ferrous,Material Name: LaIn5Co. Category: Metal. Subcategory: Non-Ferrous. Formula: LaIn5Co. Density: 7.656 g/cm3. Notes: JVASP-98701.
Ba4ZrCu,Metal,Non-Ferrous,Material Name: Ba4ZrCu. Category: Metal. Subcategory: Non-Ferrous. Formula: Ba4ZrCu. Density: 4.662 g/cm3. Notes: JVASP-64188.
Nb2FeO6,Ceramic,Oxide,Material Name: Nb2FeO6. Category: Ceramic. Subcategory: Oxide. Formula: Nb2FeO6. Density: 5.72 g/cm3. Notes: JVASP-88512.
SiNi,Ceramic,Mixed,Material Name: SiNi. Category: Ceramic. Subcategory: Mixed. Formula: SiNi. Density: 6.161 g/cm3. Youngs Modulus: 116.6410649720609 GPa. Notes: JVASP-90627.
ThTi2O6,Ceramic,Oxide,Material Name: ThTi2O6. Category: Ceramic. Subcategory: Oxide. Formula: ThTi2O6. Density: 5.971 g/cm3. Youngs Modulus: 186.12088883901015 GPa. Notes: JVASP-86502.
Ba4TaCo,Metal,Non-Ferrous,Material Name: Ba4TaCo. Category: Metal. Subcategory: Non-Ferrous. Formula: Ba4TaCo. Density: 5.759 g/cm3. Notes: JVASP-63915.
Mn2SiRu,Ceramic,Mixed,Material Name: Mn2SiRu. Category: Ceramic. Subcategory: Mixed. Formula: Mn2SiRu. Density: 8.16 g/cm3. Youngs Modulus: 178.10899642183333 GPa. Notes: JVASP-37194.
Mn3Ga,Metal,Non-Ferrous,Material Name: Mn3Ga. Category: Metal. Subcategory: Non-Ferrous. Formula: Mn3Ga. Density: 8.327 g/cm3. Notes: JVASP-37189.
TiFe2As,Metal,Ferrous,Material Name: TiFe2As. Category: Metal. Subcategory: Ferrous. Formula: TiFe2As. Density: 7.972 g/cm3. Youngs Modulus: 68.82484358945989 GPa. Notes: JVASP-37044.
RbZnO3,Ceramic,Oxide,Material Name: RbZnO3. Category: Ceramic. Subcategory: Oxide. Formula: RbZnO3. Density: 4.702 g/cm3. Notes: JVASP-38278.
ThN,Unknown,,Material Name: ThN. Category: Unknown. Formula: ThN. Density: 11.732 g/cm3. Notes: JVASP-19857.
NaSrO3,Ceramic,Oxide,Material Name: NaSrO3. Category: Ceramic. Subcategory: Oxide. Formula: NaSrO3. Density: 3.637 g/cm3. Notes: JVASP-38694.
Co3Bi,Metal,Non-Ferrous,Material Name: Co3Bi. Category: Metal. Subcategory: Non-Ferrous. Formula: Co3Bi. Density: 11.548 g/cm3. Youngs Modulus: 128.46799867138196 GPa. Notes: JVASP-37946.
Ti2GaFe,Metal,Ferrous,Material Name: Ti2GaFe. Category: Metal. Subcategory: Ferrous. Formula: Ti2GaFe. Density: 6.543 g/cm3. Youngs Modulus: 81.66994346425447 GPa. Notes: JVASP-37051.
RbNiO3,Ceramic,Oxide,Material Name: RbNiO3. Category: Ceramic. Subcategory: Oxide. Formula: RbNiO3. Density: 5.237 g/cm3. Notes: JVASP-38325.
BaNaSc,Metal,Non-Ferrous,Material Name: BaNaSc. Category: Metal. Subcategory: Non-Ferrous. Formula: BaNaSc. Density: 2.595 g/cm3. Notes: JVASP-64005.
HoAg,Metal,Non-Ferrous,Material Name: HoAg. Category: Metal. Subcategory: Non-Ferrous. Formula: HoAg. Density: 9.792 g/cm3. Youngs Modulus: 83.30667899237348 GPa. Notes: JVASP-15056.
Ba4CuSe,Metal,Non-Ferrous,Material Name: Ba4CuSe. Category: Metal. Subcategory: Non-Ferrous. Formula: Ba4CuSe. Density: 4.82 g/cm3. Notes: JVASP-64131.
TiFe2Sb,Metal,Ferrous,Material Name: TiFe2Sb. Category: Metal. Subcategory: Ferrous. Formula: TiFe2Sb. Density: 8.471 g/cm3. Youngs Modulus: 120.99044036055244 GPa. Notes: JVASP-37031.
Ca3La3B5O15,Ceramic,Oxide,Material Name: Ca3La3B5O15. Category: Ceramic. Subcategory: Oxide. Formula: Ca3La3B5O15. Density: 4.478 g/cm3. Notes: JVASP-98615.
NdTe,Metal,Non-Ferrous,Material Name: NdTe. Category: Metal. Subcategory: Non-Ferrous. Formula: NdTe. Density: 7.022 g/cm3. Youngs Modulus: 88.35350756533701 GPa. Notes: JVASP-14789.
La3CuSnS7,Ceramic,Mixed,Material Name: La3CuSnS7. Category: Ceramic. Subcategory: Mixed. Formula: La3CuSnS7. Density: 4.858 g/cm3. Notes: JVASP-98038.
MoWSe2S2,Ceramic,Mixed,Material Name: MoWSe2S2. Category: Ceramic. Subcategory: Mixed. Formula: MoWSe2S2. Density: 5.281 g/cm3. Notes: JVASP-28636.
RbCrF5,Ceramic,Mixed,Material Name: RbCrF5. Category: Ceramic. Subcategory: Mixed. Formula: RbCrF5. Density: 3.7 g/cm3. Notes: JVASP-97916.
LaAs,Metal,Non-Ferrous,Material Name: LaAs. Category: Metal. Subcategory: Non-Ferrous. Formula: LaAs. Density: 5.997 g/cm3. Notes: JVASP-18944.
Be2RuPb,Metal,Non-Ferrous,Material Name: Be2RuPb. Category: Metal. Subcategory: Non-Ferrous. Formula: Be2RuPb. Density: 9.706 g/cm3. Youngs Modulus: 89.1034265526388 GPa. Notes: JVASP-64985.
Ba4NiBr,Metal,Non-Ferrous,Material Name: Ba4NiBr. Category: Metal. Subcategory: Non-Ferrous. Formula: Ba4NiBr. Density: 3.032 g/cm3. Notes: JVASP-64784.
BaSrCd,Metal,Non-Ferrous,Material Name: BaSrCd. Category: Metal. Subcategory: Non-Ferrous. Formula: BaSrCd. Density: 4.249 g/cm3. Notes: JVASP-64093.
TmFeO3,Ceramic,Oxide,Material Name: TmFeO3. Category: Ceramic. Subcategory: Oxide. Formula: TmFeO3. Density: 7.543 g/cm3. Notes: JVASP-98551.
RuPbO3,Ceramic,Oxide,Material Name: RuPbO3. Category: Ceramic. Subcategory: Oxide. Formula: RuPbO3. Density: 9.408 g/cm3. Youngs Modulus: 107.24267289529806 GPa. Notes: JVASP-39448.
Ti2GaNi,Metal,Superalloy,Material Name: Ti2GaNi. Category: Metal. Subcategory: Superalloy. Formula: Ti2GaNi. Density: 6.386 g/cm3. Notes: JVASP-37049.
Li2GaPt,Metal,Non-Ferrous,Material Name: Li2GaPt. Category: Metal. Subcategory: Non-Ferrous. Formula: Li2GaPt. Density: 8.375 g/cm3. Notes: JVASP-15260.
Ba4LiSn,Metal,Non-Ferrous,Material Name: Ba4LiSn. Category: Metal. Subcategory: Non-Ferrous. Formula: Ba4LiSn. Density: 4.254 g/cm3. Notes: JVASP-64429.
VP4,Ceramic,Mixed,Material Name: VP4. Category: Ceramic. Subcategory: Mixed. Formula: VP4. Density: 3.598 g/cm3. Youngs Modulus: 204.7684779615932 GPa. Notes: JVASP-87040.
Mn,Metal,Non-Ferrous,Material Name: Mn. Category: Metal. Subcategory: Non-Ferrous. Formula: Mn. Density: 8.517 g/cm3. Youngs Modulus: 332.1784706185301 GPa. Notes: JVASP-16080.
Si2Ru,Ceramic,Mixed,Material Name: Si2Ru. Category: Ceramic. Subcategory: Mixed. Formula: Si2Ru. Density: 5.888 g/cm3. Youngs Modulus: 240.70787060364805 GPa. Notes: JVASP-14914.
Ti3Ge,Metal,Non-Ferrous,Material Name: Ti3Ge. Category: Metal. Subcategory: Non-Ferrous. Formula: Ti3Ge. Density: 5.647 g/cm3. Youngs Modulus: 100.93782546771274 GPa. Notes: JVASP-37042.
Ca3CdO4,Ceramic,Oxide,Material Name: Ca3CdO4. Category: Ceramic. Subcategory: Oxide. Formula: Ca3CdO4. Density: 4.476 g/cm3. Youngs Modulus: 179.79052830277166 GPa. Notes: JVASP-107773.
Mn2SnRu,Metal,Non-Ferrous,Material Name: Mn2SnRu. Category: Metal. Subcategory: Non-Ferrous. Formula: Mn2SnRu. Density: 9.319 g/cm3. Youngs Modulus: 49.56771895485182 GPa. Notes: JVASP-37191.
Ti3Sn,Metal,Non-Ferrous,Material Name: Ti3Sn. Category: Metal. Subcategory: Non-Ferrous. Formula: Ti3Sn. Density: 6.117 g/cm3. Youngs Modulus: 74.1302972835813 GPa. Notes: JVASP-37039.
Na3Hg2,Metal,Non-Ferrous,Material Name: Na3Hg2. Category: Metal. Subcategory: Non-Ferrous. Formula: Na3Hg2. Density: 5.647 g/cm3. Notes: JVASP-97337.
Ba4NbFe,Metal,Ferrous,Material Name: Ba4NbFe. Category: Metal. Subcategory: Ferrous. Formula: Ba4NbFe. Density: 5.031 g/cm3. Notes: JVASP-64316.
Sc2MnGe,Metal,Non-Ferrous,Material Name: Sc2MnGe. Category: Metal. Subcategory: Non-Ferrous. Formula: Sc2MnGe. Density: 5.484 g/cm3. Youngs Modulus: 54.22720930963987 GPa. Notes: JVASP-37104.
Ba4LaTc,Metal,Non-Ferrous,Material Name: Ba4LaTc. Category: Metal. Subcategory: Non-Ferrous. Formula: Ba4LaTc. Density: 5.651 g/cm3. Notes: JVASP-64047.
MgMnRh2,Metal,Non-Ferrous,Material Name: MgMnRh2. Category: Metal. Subcategory: Non-Ferrous. Formula: MgMnRh2. Density: 8.279 g/cm3. Notes: JVASP-38842.
Ba4LiPb,Metal,Non-Ferrous,Material Name: Ba4LiPb. Category: Metal. Subcategory: Non-Ferrous. Formula: Ba4LiPb. Density: 4.705 g/cm3. Notes: JVASP-64528.
Ba4HfCu,Metal,Non-Ferrous,Material Name: Ba4HfCu. Category: Metal. Subcategory: Non-Ferrous. Formula: Ba4HfCu. Density: 5.347 g/cm3. Notes: JVASP-64244.
Ba4TlTe,Metal,Non-Ferrous,Material Name: Ba4TlTe. Category: Metal. Subcategory: Non-Ferrous. Formula: Ba4TlTe. Density: 5.748 g/cm3. Notes: JVASP-64379.
CdH4S2O5,Ceramic,Oxide,Material Name: CdH4S2O5. Category: Ceramic. Subcategory: Oxide. Formula: CdH4S2O5. Density: 3.108 g/cm3. Notes: JVASP-98439.
Ti2InNi,Metal,Superalloy,Material Name: Ti2InNi. Category: Metal. Subcategory: Superalloy. Formula: Ti2InNi. Density: 6.874 g/cm3. Youngs Modulus: 55.7472727771228 GPa. Notes: JVASP-37057.
Ba4BiPd,Metal,Non-Ferrous,Material Name: Ba4BiPd. Category: Metal. Subcategory: Non-Ferrous. Formula: Ba4BiPd. Density: 6.084 g/cm3. Notes: JVASP-63958.
